trial,value,params,block_scores,drops,recover_limit_ends,mount_t,final_scores
110,4.0,"{""MOUNT_SPEED"": 710, ""IR_TRIGGER"": 0.18114590826020102, ""FALL_THRESHOLD"": 265, ""EDGE_THRESHOLD"": 760, ""RECOVER_LIMIT"": 4}",4,0,0,"[43.0, 43.0, 43.0, 43.0]","[[6.0, 3.0], [8.0, 3.0], [6.0, 3.0], [5.0, 3.0]]"
111,-8.0,"{""MOUNT_SPEED"": 730, ""IR_TRIGGER"": 0.21054238508234455, ""FALL_THRESHOLD"": 300, ""EDGE_THRESHOLD"": 770, ""RECOVER_LIMIT"": 4}",0,8,0,"[36.0, 36.0, 36.0, 36.0]","[[1.0, 4.0], [1.0, 4.0], [1.0, 4.0], [1.0, 4.0]]"
112,-24.0,"{""MOUNT_SPEED"": 700, ""IR_TRIGGER"": 0.20152781914504342, ""FALL_THRESHOLD"": 290, ""EDGE_THRESHOLD"": 660, ""RECOVER_LIMIT"": 5}",3,27,0,"[47.0, 47.0, 47.0, 47.0]","[[4.0, 0.0], [3.0, 8.0], [3.0, 8.0], [0.0, 2.0]]"
113,-52.0,"{""MOUNT_SPEED"": 760, ""IR_TRIGGER"": 0.23229679462967706, ""FALL_THRESHOLD"": 305, ""EDGE_THRESHOLD"": 730, ""RECOVER_LIMIT"": 5}",0,12,4,"[35.0, 35.0, 35.0, 35.0]","[[0.0, 2.0], [0.0, 2.0], [0.0, 2.0], [0.0, 2.0]]"
114,-44.0,"{""MOUNT_SPEED"": 630, ""IR_TRIGGER"": 0.1840429961939093, ""FALL_THRESHOLD"": 270, ""EDGE_THRESHOLD"": 750, ""RECOVER_LIMIT"": 5}",0,4,4,"[42.0, 42.0, 42.0, 42.0]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
115,-24.0,"{""MOUNT_SPEED"": 700, ""IR_TRIGGER"": 0.23752151389286957, ""FALL_THRESHOLD"": 270, ""EDGE_THRESHOLD"": 620, ""RECOVER_LIMIT"": 5}",3,27,0,"[47.0, 47.0, 47.0, 47.0]","[[4.0, 0.0], [3.0, 8.0], [3.0, 8.0], [0.0, 2.0]]"
116,4.0,"{""MOUNT_SPEED"": 710, ""IR_TRIGGER"": 0.2706491014431815, ""FALL_THRESHOLD"": 280, ""EDGE_THRESHOLD"": 720, ""RECOVER_LIMIT"": 4}",4,0,0,"[43.0, 43.0, 43.0, 43.0]","[[6.0, 3.0], [8.0, 3.0], [6.0, 3.0], [5.0, 3.0]]"
117,-60.0,"{""MOUNT_SPEED"": 690, ""IR_TRIGGER"": 0.18674155184189137, ""FALL_THRESHOLD"": 275, ""EDGE_THRESHOLD"": 730, ""RECOVER_LIMIT"": 4}",4,54,1,"[40.0, 40.0, 40.0, 40.0]","[[4.0, 8.0], [4.0, 12.0], [3.0, 9.0], [3.0, 9.0]]"
118,4.0,"{""MOUNT_SPEED"": 710, ""IR_TRIGGER"": 0.25323049721471824, ""FALL_THRESHOLD"": 300, ""EDGE_THRESHOLD"": 720, ""RECOVER_LIMIT"": 5}",4,0,0,"[43.0, 43.0, 43.0, 43.0]","[[6.0, 3.0], [8.0, 3.0], [6.0, 3.0], [5.0, 3.0]]"
119,4.0,"{""MOUNT_SPEED"": 710, ""IR_TRIGGER"": 0.2648239089355016, ""FALL_THRESHOLD"": 260, ""EDGE_THRESHOLD"": 690, ""RECOVER_LIMIT"": 4}",4,0,0,"[43.0, 43.0, 43.0, 43.0]","[[6.0, 3.0], [8.0, 3.0], [6.0, 3.0], [5.0, 3.0]]"
