#{"t_start": 1790417062.4237332, "env_id": "None"}
r,l,t,seed,entry_tick,policy_ticks,target_index,us_block_scores,us_block_score_events,them_block_score_events,target_block_offs,unowned_block_offs,us_drops,attribution_ambiguous,done_reason,faults,score_us,score_them
-1.004024,40,73.860734,1143,155,40,0,0,0,0,0,0,1,False,,0,0,1
-1.011673,101,73.996963,1144,164,101,0,0,0,0,0,0,1,False,,0,0,1
0.0,1,74.603303,1145,-1,0,-1,0,0,0,0,0,0,False,恢复次数超限 → 停车,0,0,6
-1.1742,1742,77.016409,1146,183,1742,0,0,0,0,0,0,1,False,,0,11,0
-1.122026,1255,77.933942,1147,156,1255,0,0,0,0,0,0,1,False,,0,0,1
-0.226365,2235,81.610511,1148,165,2235,0,0,0,0,0,0,0,False,比赛时间结束(手动模式),0,13,0
-0.458528,229,81.924259,1149,172,229,0,0,0,0,1,1,0,False,,0,0,0
-0.465748,304,82.244623,1150,164,304,0,0,0,1,1,1,0,False,,0,2,3
-1.0114,114,82.388841,1151,155,114,0,0,0,0,0,0,1,False,,0,0,1
-1.015687,113,82.538801,1152,166,113,0,0,0,0,0,0,1,False,,0,0,1
-0.99951,58,82.647551,1153,165,58,0,0,0,0,0,0,1,False,,0,0,1
-0.459488,240,82.889997,1154,163,240,0,0,0,0,1,1,0,False,,0,0,0
-0.194466,2230,85.416502,1155,170,2230,0,0,0,0,0,0,0,False,比赛时间结束(手动模式),0,7,0
-1.004058,251,85.663941,1156,163,251,0,0,0,0,0,0,1,False,,0,0,1
-1.004116,46,85.766174,1157,181,46,0,0,0,0,0,0,1,False,,0,0,1
-0.192056,2211,88.202104,1158,189,2211,0,0,0,1,0,0,0,False,比赛时间结束(手动模式),0,11,6
-1.0042,42,88.29887,1159,170,42,0,0,0,0,0,0,1,False,,0,0,1
0.0,1,88.688715,1160,-1,0,-1,0,0,0,0,0,0,False,恢复次数超限 → 停车,0,0,8
-1.025586,226,89.87664,1161,167,226,0,0,0,1,0,0,1,False,,0,2,3
-0.206875,2235,92.830658,1162,165,2235,0,0,0,0,0,0,0,False,比赛时间结束(手动模式),0,11,0
-1.0093,93,92.97603,1163,158,93,0,0,0,0,0,0,1,False,,0,0,1
-1.0007,7,93.042141,1164,159,7,0,0,0,0,0,0,1,False,,0,0,1
0.0,1,93.637012,1165,-1,0,-1,0,0,0,0,0,0,False,恢复次数超限 → 停车,0,0,6
-1.0017,17,93.718775,1166,181,17,0,0,0,0,0,0,1,False,,0,0,1
0.005281,586,94.265958,1167,177,586,0,0,0,1,0,0,0,False,,0,2,3
-1.0013,13,94.343178,1168,181,13,0,0,0,0,0,0,1,False,,0,0,1
0.0,1,94.946899,1169,-1,0,-1,0,0,0,0,0,0,False,恢复次数超限 → 停车,0,0,15
0.0,1,95.642451,1170,-1,0,-1,0,0,0,0,0,0,False,恢复次数超限 → 停车,0,0,5
1.048407,162,95.841003,1171,167,162,0,1,1,0,0,0,0,False,,0,3,0
-0.221742,2234,98.717963,1172,166,2234,0,0,0,0,0,0,0,False,比赛时间结束(手动模式),0,12,0
-0.458911,236,98.961433,1173,172,236,0,0,0,0,1,1,0,False,,0,0,0
-0.957665,139,99.132478,1174,181,139,0,0,0,0,0,0,1,False,,0,0,1
-1.003071,40,99.22663,1175,177,40,0,0,0,0,0,0,1,False,,0,0,1
-1.004091,55,99.328151,1176,157,55,0,0,0,0,0,0,1,False,,0,0,1
-1.0007,7,99.398601,1177,181,7,0,0,0,0,0,0,1,False,,0,0,1
0.0,1,100.02292,1178,-1,0,-1,0,0,0,0,0,0,False,恢复次数超限 → 停车,0,0,7
-1.006064,107,100.166574,1179,175,107,0,0,0,0,0,0,1,False,,0,0,1
-1.062772,631,101.870567,1180,243,631,0,0,0,0,0,0,1,False,,0,4,3
0.0,1,102.452595,1181,-1,0,-1,0,0,0,0,0,0,False,恢复次数超限 → 停车,0,0,7
-0.456606,212,102.673009,1182,167,212,0,0,0,0,1,1,0,False,,0,0,0
-1.0008,8,102.744087,1183,189,8,0,0,0,0,0,0,1,False,,0,0,4
-1.0137,137,103.312088,1184,1166,137,1,0,0,0,0,0,1,False,,0,0,6
-0.183458,2246,105.99222,1185,154,2246,0,0,0,0,0,0,0,False,比赛时间结束(手动模式),0,10,0
-1.0043,43,106.092753,1186,172,43,0,0,0,0,0,0,1,False,,0,0,1
