rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/std,train/learning_rate,train/entropy_loss,train/approx_kl,train/explained_variance,train/loss,train/clip_range,train/policy_gradient_loss,train/value_loss,train/n_updates,train/clip_fraction
548.37,667,192512,288,-0.5973499700000001,94,0.8975971937179565,0.0003,-2.6162879921495916,0.0074147666,0.6396282911300659,-0.010584224946796894,0.2,-0.0059290513032465245,0.0005162179203125561,930,0.073486328125
566.68,669,194560,290,-0.59949056,95,0.8895792961120605,0.0003,-2.6096457093954086,0.0063501187,0.2725004553794861,0.033364035189151764,0.2,-0.004024547364679165,0.005739561156951822,940,0.063330078125
579.3,670,196608,293,-0.60091403,96,0.902588963508606,0.0003,-2.6140758983790873,0.007138733,0.7332621216773987,-0.013590765185654163,0.2,-0.0018613930231367703,0.0030695849822222955,950,0.062109375
599.24,670,198656,296,-0.5926798600000001,97,0.9036886096000671,0.0003,-2.631249626725912,0.0058873426,0.9389896988868713,-0.0125938281416893,0.2,-0.0035768410918535663,0.0006246223457537781,960,0.046630859375
599.34,671,200704,298,-0.5926550600000001,98,0.8948237299919128,0.0003,-2.621876020729542,0.0060627097,0.6894476413726807,-0.011136433109641075,0.2,-0.0040864575734303795,0.00024026016549214547,970,0.046142578125
619.37,673,202752,301,-0.5840891800000001,99,0.8866837024688721,0.0003,-2.6019772939383983,0.00538403,0.7763406038284302,-0.0057361554354429245,0.2,-0.004660387037438341,9.080282918034754e-05,980,0.0556640625
631.04,674,204800,303,-0.5949098,100,0.8943007588386536,0.0003,-2.6021486423909663,0.004480782,0.31664830446243286,0.022991981357336044,0.2,0.000654332331760088,0.001767602622476261,990,0.023388671875
652.28,675,206848,306,-0.5869593800000001,101,0.8892471790313721,0.0003,-2.602677758783102,0.0074675158,0.47200214862823486,-0.022521499544382095,0.2,-0.007107650894613471,0.002282489724666448,1000,0.0876953125
665.23,674,208896,309,-0.56784848,102,0.8832781314849854,0.0003,-2.5881859004497527,0.0050219838,0.8867717385292053,-0.0106496661901474,0.2,-0.0025325346883619203,0.0007252589218296635,1010,0.02578125
690.1,675,210944,312,-0.53933129,103,0.8873355388641357,0.0003,-2.5885653242468836,0.0030053277,0.44314855337142944,-0.008680176921188831,0.2,-0.0019676695214002394,0.009416113378392765,1020,0.029541015625
690.57,674,212992,315,-0.52959143,104,0.884352445602417,0.0003,-2.5890818148851396,0.0049751904,0.24966764450073242,-0.0012095988495275378,0.2,-0.0032970160515105817,0.003981353131894139,1030,0.029345703125
712.89,676,215040,318,-0.5317937399999999,105,0.893024742603302,0.0003,-2.5954128935933114,0.0074893637,0.7959946393966675,0.007351122796535492,0.2,-0.004608134360751137,0.00483242363111458,1040,0.057861328125
712.95,676,217088,320,-0.5316574,106,0.873501181602478,0.0003,-2.5812706910073757,0.0059935893,0.8890716433525085,-0.03175562992691994,0.2,-0.005106872449687216,0.00027552218789423933,1050,0.053759765625
